Game Name,Release Date,Metascore,User Score,Meta/User Delta,VR Required?
Psychonauts in The Rhombus of Ruin,"Feb 21, 2017",71,6.6,0.5,"PlayStation VR Compatible, PlayStation VR Required"
Megadimension Neptunia VIIR,"May8, 2018",71,6.6,0.5,PlayStation VR Compatible
Senran Kagura: Peach Beach Splash,"Sep 12, 2017",70,7.1,-0.1,PlayStation VR Compatible
Archangel,"Jul 18, 2017",69,6.9,0.0,PlayStation VR Required
Korix,"Mar 29, 2017",69,7.0,-0.1,PlayStation VR Required
Arca's Path VR,"Dec4, 2018",69,tbd,0,PlayStation VR Required
Tumble VR,"Oct 10, 2016",69,7.1,-0.2,PlayStation VR Required
The Wizards: Enhanced Edition,"Mar 12, 2019",69,6.6,0.3,PlayStation VR Required
Starblood Arena,"Apr 11, 2017",68,7.3,-0.5,PlayStation VR Required
Killing Floor: Incursion,"May1, 2018",68,5.2,1.6,PlayStation VR Compatible
Deracine,"Nov6, 2018",68,7.7,-0.9,PlayStation VR Compatible
Home Sweet Home,"Oct 16, 2018",68,5.3,1.5,PlayStation VR Compatible
How We Soar,"Nov 29, 2016",67,5.9,0.8,PlayStation VR Required
Space Junkies,"Mar 26, 2019",67,tbd,0,PlayStation VR Required
Driveclub VR,"Sep 21, 2016",66,6.7,-0.1,PlayStation VR Required
Super Stardust Ultra VR,"Oct 10, 2016",66,6.4,0.2,PlayStation VR Required
Battlezone,"Oct 13, 2016",66,7.1,-0.5,"PlayStation VR Compatible, PlayStation VR Required"
Detached,"Jul 24, 2018",66,tbd,0,PlayStation VR Required
DEXED,"Jan 31, 2017",65,tbd,0,PlayStation VR Required
Dino Frontier,"Aug1, 2017",65,6.4,0.1,PlayStation VR Required
Dark Eclipse,"Sep 25, 2018",65,6.7,-0.2,PlayStation VR Required
The Solus Project,"Sep 18, 2017",65,6.9,-0.4,PlayStation VR Compatible
Smash Hit Plunder,"Dec 11, 2018",65,tbd,0,PlayStation VR Required
Robinson: The Journey,"Nov8, 2016",64,6.7,-0.3,PlayStation VR Required
Symphony of the Machine,"Apr 25, 2017",64,4.8,1.6,PlayStation VR Required
FATED: The Silent Oath,"Mar 28, 2017",64,5.3,1.1,PlayStation VR Required
